0.840000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.850000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.860000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.870000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.880000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.890000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.900000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.910000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.920000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.930000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.940000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.950000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.960000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.970000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.980000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
0.990000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
1.000000	0	0.000000	64.000000	0.000000	1.000000	0.000000	
